direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
short,london,2025-07-28T08:40:00+00:00,3334.74,3338.8,3334.74,2.36429,3338.28643,3327.64714,2025-07-28T09:10:00+00:00,3338.28643,sl,6,-35.46,-39.66,False,up,False,40.0,normal,0.093,narrow,False
short,ny,2025-07-28T14:55:00+00:00,3308.31,3313.85,3308.31,4.755,3315.4425,3294.045,2025-07-28T15:30:00+00:00,3315.4425,sl,7,-71.33,-75.53,False,up,False,40.0,normal,0.126,narrow,False
long,london,2025-07-29T08:15:00+00:00,3327.33,3327.33,3316.59,3.01286,3322.81071,3336.36857,2025-07-29T09:05:00+00:00,3322.81071,sl,10,-45.19,-49.39,False,up,True,33.3,normal,0.249,narrow,False
long,ny,2025-07-29T14:45:00+00:00,3328.22,3328.22,3323.01,3.96071,3322.27893,3340.10214,2025-07-29T15:40:00+00:00,3322.27893,sl,11,-59.41,-63.61,False,up,True,33.3,normal,0.121,narrow,True
long,london,2025-07-30T08:15:00+00:00,3332.01,3332.01,3327.51,2.24714,3328.63929,3338.75143,2025-07-30T10:10:00+00:00,3328.63929,sl,23,-33.71,-37.91,False,up,True,22.7,compression,0.106,narrow,False
short,ny,2025-07-30T15:05:00+00:00,3301.17,3305.32,3301.17,2.49286,3304.90929,3293.69143,2025-07-30T15:20:00+00:00,3293.69143,tp,3,74.79,70.59,False,up,False,22.7,compression,0.098,narrow,False
long,london,2025-07-31T08:15:00+00:00,3309.94,3309.94,3303.61,3.29429,3304.99857,3319.82286,2025-07-31T09:40:00+00:00,3304.99857,sl,17,-49.41,-53.61,False,up,True,81.8,expansion,0.139,narrow,False
short,ny,2025-07-31T15:05:00+00:00,3291.43,3298.21,3291.43,3.60357,3296.83536,3280.61929,2025-07-31T15:15:00+00:00,3296.83536,sl,2,-54.05,-58.25,False,up,False,81.8,expansion,0.149,narrow,False
long,london,2025-08-01T08:55:00+00:00,3288.73,3288.73,3285.35,2.16714,3285.47929,3295.23143,2025-08-01T09:00:00+00:00,3295.23143,tp,1,65.01,60.81,False,up,True,72.7,expansion,0.076,narrow,False
long,ny,2025-08-01T14:45:00+00:00,3346.73,3346.73,3341.32,5.26429,3338.83357,3362.52286,2025-08-01T20:45:00+00:00,3362.52286,tp,72,157.93,153.73,False,up,True,72.7,expansion,0.121,narrow,False
long,london,2025-08-04T08:25:00+00:00,3356.98,3356.98,3354.06,2.22643,3353.64036,3363.65929,2025-08-04T10:20:00+00:00,3353.64036,sl,23,-33.4,-37.6,False,up,True,100.0,expansion,0.061,narrow,False
short,ny,2025-08-04T16:45:00+00:00,3376.74,3379.76,3376.74,1.85214,3379.51821,3371.18357,2025-08-04T16:50:00+00:00,3371.18357,tp,1,55.56,51.36,False,down,True,100.0,expansion,0.063,narrow,False
long,london,2025-08-05T08:20:00+00:00,3373.48,3373.48,3370.65,2.04214,3370.41679,3379.60643,2025-08-05T08:40:00+00:00,3370.41679,sl,4,-30.63,-34.83,False,down,False,95.2,expansion,0.059,narrow,False
