direction,session,entry_ts,entry_price,box_high,box_low,atr,sl,tp,exit_ts,exit_price,exit_reason,bars_held,pnl_pips,net_pips,is_oos,orb_internal_dir,h1_aligned,atr_percentile,h2_regime,orb_size_atr,h3_tier,h5_swept_pre
long,ny,2025-07-04T16:30:00+00:00,3334.36,3334.11,3330.99,1.00286,3332.85571,3337.36857,2025-07-06T22:00:00+00:00,3337.36857,tp,3,30.09,25.89,False,down,False,0.0,compression,0.066,narrow,False
long,london,2025-07-07T08:35:00+00:00,3310.65,3306.95,3301.24,2.61,3306.735,3318.48,2025-07-07T09:30:00+00:00,3306.735,sl,11,-39.15,-43.35,False,up,True,0.0,compression,0.131,narrow,False
long,ny,2025-07-07T14:50:00+00:00,3319.87,3319.78,3314.43,2.83929,3315.61107,3328.38786,2025-07-07T17:00:00+00:00,3328.38786,tp,26,85.18,80.98,False,up,True,0.0,compression,0.123,narrow,False
short,london,2025-07-08T08:45:00+00:00,3324.32,3333.96,3326.03,2.70643,3328.37964,3316.20071,2025-07-08T12:05:00+00:00,3328.37964,sl,40,-40.6,-44.8,False,down,True,4.8,compression,0.178,narrow,False
short,ny,2025-07-08T15:00:00+00:00,3294.53,3304.92,3295.03,4.59929,3301.42893,3280.73214,2025-07-08T16:55:00+00:00,3301.42893,sl,23,-68.99,-73.19,False,down,True,4.8,compression,0.222,narrow,False
short,london,2025-07-09T08:15:00+00:00,3286.67,3292.55,3288.5,2.91714,3291.04571,3277.91857,2025-07-09T10:00:00+00:00,3291.04571,sl,21,-43.76,-47.96,False,down,True,9.1,compression,0.089,narrow,False
long,ny,2025-07-09T16:35:00+00:00,3312.6,3312.41,3306.68,1.88,3309.78,3318.24,2025-07-09T17:00:00+00:00,3309.78,sl,5,-28.2,-32.4,False,up,True,9.1,compression,0.126,narrow,False
long,london,2025-07-10T08:40:00+00:00,3325.41,3322.44,3319.91,1.78,3322.74,3330.75,2025-07-10T10:10:00+00:00,3322.74,sl,18,-26.7,-30.9,False,up,True,9.1,compression,0.056,narrow,False
short,london,2025-07-11T08:55:00+00:00,3332.98,3343.35,3340.67,2.55286,3336.80929,3325.32143,2025-07-11T09:30:00+00:00,3336.80929,sl,7,-38.29,-42.49,False,up,False,4.5,compression,0.06,narrow,False
long,ny,2025-07-11T14:45:00+00:00,3360.59,3360.09,3355.11,3.59714,3355.19429,3371.38143,2025-07-11T16:15:00+00:00,3355.19429,sl,18,-53.96,-58.16,False,up,True,4.5,compression,0.112,narrow,False
short,london,2025-07-14T09:45:00+00:00,3367.11,3372.52,3369.42,1.75786,3369.74679,3361.83643,2025-07-14T09:55:00+00:00,3369.74679,sl,2,-26.37,-30.57,False,up,False,5.0,compression,0.071,narrow,False
short,london,2025-07-15T08:25:00+00:00,3357.75,3365.58,3362.09,1.94286,3360.66429,3351.92143,2025-07-15T08:30:00+00:00,3360.66429,sl,1,-29.14,-33.34,False,down,True,0.0,compression,0.083,narrow,False
short,ny,2025-07-15T14:50:00+00:00,3346.73,3352.06,3346.76,3.74929,3352.35393,3335.48214,2025-07-15T15:25:00+00:00,3335.48214,tp,7,112.48,108.28,False,up,False,0.0,compression,0.126,narrow,False
short,london,2025-07-16T10:15:00+00:00,3337.28,3342.39,3337.67,1.43571,3339.43357,3332.97286,2025-07-16T11:45:00+00:00,3339.43357,sl,18,-21.54,-25.74,False,up,False,4.5,compression,0.109,narrow,False
long,ny,2025-07-16T15:00:00+00:00,3345.02,3326.05,3319.7,5.72,3336.44,3362.18,2025-07-16T15:15:00+00:00,3362.18,tp,3,171.6,167.4,False,up,True,4.5,compression,0.147,narrow,False
short,london,2025-07-17T11:20:00+00:00,3325.21,3329.57,3325.52,1.98357,3328.18536,3319.25929,2025-07-17T12:25:00+00:00,3328.18536,sl,13,-29.75,-33.95,False,up,False,18.2,compression,0.091,narrow,False
long,ny,2025-07-17T15:00:00+00:00,3334.62,3334.2,3329.7,2.93071,3330.22393,3343.41214,2025-07-17T22:00:00+00:00,3341.3,time,72,66.8,62.6,False,up,True,18.2,compression,0.101,narrow,False
long,london,2025-07-18T09:05:00+00:00,3351.98,3350.35,3347.17,1.88429,3349.15357,3357.63286,2025-07-18T10:00:00+00:00,3349.15357,sl,11,-28.26,-32.46,False,down,False,4.5,compression,0.075,narrow,False
short,ny,2025-07-18T15:10:00+00:00,3352.92,3357.2,3353.64,2.32857,3356.41286,3345.93429,2025-07-18T16:35:00+00:00,3356.41286,sl,17,-34.93,-39.13,False,down,True,4.5,compression,0.084,narrow,False
long,london,2025-07-21T08:20:00+00:00,3365.0,3364.85,3363.07,1.53786,3362.69321,3369.61357,2025-07-21T11:10:00+00:00,3369.61357,tp,34,46.14,41.94,False,up,True,0.0,compression,0.044,narrow,False
long,london,2025-07-22T08:15:00+00:00,3388.29,3388.27,3386.2,1.42857,3386.14714,3392.57571,2025-07-22T09:20:00+00:00,3386.14714,sl,13,-21.43,-25.63,False,up,True,4.8,compression,0.05,narrow,False
long,ny,2025-07-22T15:00:00+00:00,3429.82,3427.63,3421.51,4.46071,3423.12893,3443.20214,2025-07-22T22:00:00+00:00,3430.61,time,72,7.9,3.7,False,up,True,4.8,compression,0.149,narrow,False
long,london,2025-07-23T08:20:00+00:00,3426.61,3425.19,3420.57,2.19357,3423.31964,3433.19071,2025-07-23T09:20:00+00:00,3433.19071,tp,12,65.81,61.61,False,up,True,9.1,compression,0.11,narrow,False
short,ny,2025-07-23T15:00:00+00:00,3410.48,3416.71,3410.78,2.99857,3414.97786,3401.48429,2025-07-23T15:10:00+00:00,3414.97786,sl,2,-44.98,-49.18,False,up,False,9.1,compression,0.142,narrow,False
short,london,2025-07-24T09:15:00+00:00,3364.51,3369.73,3365.73,2.31214,3367.97821,3357.57357,2025-07-24T12:45:00+00:00,3357.57357,tp,42,69.36,65.16,False,up,False,18.2,compression,0.095,narrow,False
short,ny,2025-07-24T16:50:00+00:00,3367.85,3377.4,3373.4,1.71,3370.415,3362.72,2025-07-24T17:25:00+00:00,3370.415,sl,7,-25.65,-29.85,False,up,False,18.2,compression,0.095,narrow,False
short,london,2025-07-25T08:15:00+00:00,3350.29,3355.27,3353.19,1.98214,3353.26321,3344.34357,2025-07-25T09:05:00+00:00,3344.34357,tp,10,59.46,55.26,False,down,True,36.4,normal,0.047,narrow,False
